frequency,recency,T,monetary_value,predicted_purchases
14.0,330.0,337.0,78.340714,0.035619
5.0,70.0,82.0,326.598,0.035699
9.0,188.0,195.0,237.654444,0.035822
6.0,104.0,111.0,124.461667,0.035828
3.0,14.0,25.0,218.233333,0.035919
11.0,234.0,248.0,421.067273,0.035935
12.0,265.0,276.0,257.670833,0.036016
14.0,331.0,331.0,144.567857,0.036293
15.0,344.0,355.0,132.172667,0.036392
6.0,103.0,108.0,243.921667,0.036562
15.0,341.0,352.0,254.538,0.036654
3.0,16.0,24.0,453.936667,0.036752
15.0,277.0,324.0,168.541333,0.036846
13.0,290.0,296.0,203.644615,0.036924
9.0,180.0,187.0,193.19,0.036969
12.0,260.0,267.0,286.163333,0.03711
4.0,20.0,43.0,450.1125,0.037158
11.0,231.0,239.0,495.582727,0.037206
16.0,351.0,370.0,90.695625,0.037215
10.0,200.0,211.0,161.212,0.037243
3.0,12.0,22.0,256.61,0.037313
14.0,305.0,315.0,302.892143,0.037619
3.0,15.0,22.0,580.95,0.037747
16.0,352.0,365.0,115.825625,0.037825
16.0,358.0,365.0,161.1625,0.037966
4.0,27.0,44.0,229.39,0.038089
5.0,59.0,72.0,414.938,0.0382
16.0,361.0,361.0,434.24,0.038454
16.0,324.0,350.0,176.179375,0.038688
4.0,37.0,45.0,113.1825,0.038983
15.0,319.0,326.0,101.807333,0.039201
4.0,45.0,46.0,589.4125,0.039251
17.0,315.0,355.0,191.871765,0.039501
5.0,61.0,69.0,281.438,0.039532
17.0,354.0,370.0,175.040588,0.0396
6.0,78.0,92.0,156.115,0.039652
10.0,188.0,195.0,255.825,0.039707
10.0,153.0,183.0,78.785,0.039895
8.0,144.0,144.0,695.5375,0.040102
17.0,336.0,355.0,330.711176,0.040896
6.0,86.0,90.0,470.406667,0.040945
17.0,350.0,358.0,300.153529,0.040952
16.0,316.0,329.0,465.656875,0.04128
18.0,357.0,365.0,307.639444,0.042619
20.0,268.0,326.0,645.9635,0.042633
17.0,294.0,326.0,115.595294,0.043004
17.0,298.0,325.0,319.632353,0.043521
18.0,355.0,356.0,164.734444,0.043692
19.0,351.0,370.0,116.934737,0.044058
4.0,19.0,31.0,245.8075,0.044068
15.0,269.0,280.0,187.012667,0.044319
19.0,358.0,370.0,214.875263,0.044321
19.0,339.0,364.0,966.423158,0.044347
10.0,154.0,166.0,95.242,0.044453
14.0,247.0,254.0,76.29,0.044951
6.0,66.0,75.0,772.826667,0.044985
16.0,156.0,207.0,287.264375,0.045502
18.0,315.0,332.0,229.625556,0.045833
19.0,351.0,355.0,163.781579,0.046134
9.0,130.0,137.0,198.963333,0.046216
19.0,355.0,355.0,453.049474,0.04622
11.0,177.0,181.0,76.492727,0.046227
16.0,272.0,279.0,190.354375,0.047518
27.0,303.0,361.0,167.266296,0.047565
19.0,340.0,342.0,182.188421,0.047667
14.0,228.0,232.0,165.677857,0.048421
20.0,348.0,355.0,132.566,0.048453
22.0,219.0,272.0,310.159545,0.048748
20.0,347.0,352.0,165.078,0.048859
17.0,263.0,279.0,500.589412,0.050005
21.0,340.0,356.0,505.611905,0.050369
9.0,116.0,120.0,218.393333,0.050716
14.0,208.0,216.0,392.259286,0.051025
23.0,304.0,348.0,238.153913,0.051675
22.0,356.0,362.0,207.839091,0.052394
8.0,72.0,89.0,136.8675,0.052797
8.0,93.0,94.0,218.18,0.052962
20.0,309.0,316.0,151.8285,0.053439
23.0,364.0,371.0,297.743478,0.053582
6.0,46.0,51.0,330.97,0.054943
24.0,369.0,370.0,143.8575,0.056189
23.0,343.0,350.0,102.718696,0.056307
23.0,337.0,348.0,434.835217,0.056416
12.0,145.0,152.0,193.650833,0.056966
6.0,38.0,46.0,149.146667,0.057007
6.0,27.0,40.0,248.681667,0.059089
9.0,84.0,92.0,143.516667,0.059509
26.0,360.0,368.0,398.917692,0.060878
28.0,348.0,355.0,196.032857,0.067597
29.0,357.0,364.0,146.42069,0.068515
23.0,222.0,250.0,627.439565,0.070448
30.0,366.0,366.0,307.961,0.070787
18.0,183.0,189.0,345.937222,0.072506
33.0,360.0,362.0,123.195152,0.078478
20.0,190.0,194.0,58.866,0.07905
7.0,12.0,20.0,1399.634286,0.086553
39.0,350.0,370.0,299.122821,0.088876
23.0,163.0,166.0,110.196522,0.102019
46.0,363.0,371.0,220.476739,0.106454
95.0,371.0,371.0,433.962632,0.22039
